subsample,system,ground_truth_theta_E_arcsec,GT_source,GT_check
SLACS,J0029-0055,0.96,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0822+2652,1.17,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0728+3835,1.25,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1153+4612,1.05,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0216-0813,1.16,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1416+5136,1.37,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J2341+0000,1.44,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1525+3327,1.31,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0956+5100,1.33,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1103+5322,1.02,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1023+4230,1.41,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0903+4116,1.29,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0841+3824,1.41,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1430+4105,1.52,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1630+4520,1.78,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0330-0020,1.1,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1213+6708,1.42,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0912+0029,1.63,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0737+3216,1.0,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0252+0039,1.04,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0959+0410,0.99,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J0946+1006,1.38,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1627-0053,1.23,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1250+0523,1.13,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J2238-0754,1.27,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1205+4910,1.22,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J1420+6019,1.04,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J2303+1422,1.62,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
SLACS,J2300+0022,1.24,Bolton et al. 2008 b_SIE,verified vs bolton08_table5.csv
EEL,J0837,0.56,Oldham et al. 2017 Table 2 (power-law+shear),verified vs Oldham 2017 Table 2 (arXiv:1611.00008)
EEL,J0901,0.67,Oldham et al. 2017 Table 2 (power-law+shear),verified vs Oldham 2017 Table 2 (arXiv:1611.00008)
EEL,J1125,0.86,Oldham et al. 2017 Table 2 (power-law+shear),verified vs Oldham 2017 Table 2 (arXiv:1611.00008)
EEL,J1144,0.68,Oldham et al. 2017 Table 2 (power-law+shear),verified vs Oldham 2017 Table 2 (arXiv:1611.00008)
